instance,run,a,b,c_ab,c_ba
sdmk05,1,EDA-TS,EDA,1.0,0.0
sdmk05,1,EDA-TS,NSGA-II,1.0,0.0
sdmk05,1,EDA-TS,EDA-VNS,1.0,0.0
sdmk05,1,EDA-TS,H-GA-TS,1.0,0.0
sdmk05,1,EDA,NSGA-II,0.7142857142857143,0.0
sdmk05,1,EDA,EDA-VNS,0.0,1.0
sdmk05,1,EDA,H-GA-TS,0.0,0.0
sdmk05,1,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,1,NSGA-II,H-GA-TS,0.0,1.0
sdmk05,1,EDA-VNS,H-GA-TS,0.8,0.0
sdmk05,2,EDA-TS,EDA,1.0,0.0
sdmk05,2,EDA-TS,NSGA-II,1.0,0.0
sdmk05,2,EDA-TS,EDA-VNS,1.0,0.0
sdmk05,2,EDA-TS,H-GA-TS,0.0,0.0
sdmk05,2,EDA,NSGA-II,0.6,0.0
sdmk05,2,EDA,EDA-VNS,0.16666666666666666,0.5
sdmk05,2,EDA,H-GA-TS,0.0,1.0
sdmk05,2,NSGA-II,EDA-VNS,0.0,1.0
sdmk05,2,NSGA-II,H-GA-TS,0.0,1.0
sdmk05,2,EDA-VNS,H-GA-TS,0.0,0.8333333333333334
